start,end,duration_min,state,top_variables,severity
2017-01-06 23:50:00,2017-01-06 23:55:00,10,3,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",2.032877226496528
2017-01-08 05:10:00,2017-01-08 05:15:00,10,1,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",2.7919547406162013
2017-01-20 04:40:00,2017-01-20 04:45:00,10,1,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp",3.440431379437942
2017-01-22 23:25:00,2017-01-22 23:35:00,15,3,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",2.5197508051740676
2017-01-26 09:15:00,2017-01-26 09:20:00,10,3,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_cone_draft",2.8370478426131283
2017-01-31 05:20:00,2017-01-31 05:40:00,25,3,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp",2.3139278546505673
2017-02-08 07:05:00,2017-02-08 11:15:00,255,1,"Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.9773695629125525
2017-02-08 07:15:00,2017-02-08 07:20:00,10,3,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft",2.4073680235598505
2017-02-11 08:40:00,2017-02-11 08:45:00,10,1,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft",1.818529085811022
2017-02-16 13:00:00,2017-02-16 13:05:00,10,1,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",2.8972472557129225
2017-02-20 11:20:00,2017-02-20 11:50:00,35,1,"Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.7650196342368814
2017-02-22 12:35:00,2017-02-22 12:40:00,10,1,"Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",3.235585304386443
2017-02-24 20:40:00,2017-02-24 21:10:00,35,1,"Cyclone_cone_draft,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.8054925805879354
2017-02-24 22:25:00,2017-02-24 23:00:00,40,1,"Cyclone_cone_draft,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.6188915851286876
2017-02-25 15:15:00,2017-02-25 15:35:00,25,1,"Cyclone_Inlet_Gas_Temp,Cyclone_cone_draft,Cyclone_Inlet_Draft",2.1099213415104754
2017-02-25 16:50:00,2017-02-25 16:55:00,10,1,"Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.7806058608972137
2017-02-27 01:50:00,2017-02-27 01:55:00,10,1,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",3.3063175280345405
2017-03-02 19:10:00,2017-03-02 19:25:00,20,2,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_cone_draft",2.4921421158690316
2017-03-14 10:50:00,2017-03-14 11:05:00,20,1,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",2.133381961942763
2017-03-14 10:55:00,2017-03-14 11:00:00,10,3,"Cyclone_Material_Temp,Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp",1.923681296480006
2017-03-16 18:20:00,2017-03-16 18:35:00,20,3,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",2.006518260277481
2017-03-16 22:40:00,2017-03-16 22:45:00,10,1,"Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",3.2411021937846862
2017-03-20 22:10:00,2017-03-20 22:15:00,10,1,"Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",2.2444532215488486
2017-03-20 22:20:00,2017-03-20 22:35:00,20,3,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp",2.0475659509682336
2017-03-26 21:25:00,2017-03-26 21:35:00,15,1,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",2.402978203608571
2017-03-31 04:55:00,2017-03-31 05:10:00,20,1,"Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp",2.068004625685461
2017-04-03 14:45:00,2017-04-03 14:55:00,15,3,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",1.9830520356157575
