start,end,duration_min
2017-01-23 02:35:00,2017-01-23 06:45:00,255.0
2017-01-23 13:50:00,2017-01-23 14:50:00,65.0
2017-01-25 17:10:00,2017-01-25 17:35:00,30.0
2017-03-02 04:30:00,2017-03-02 07:35:00,190.0
2017-03-07 21:35:00,2017-03-07 22:35:00,65.0
2017-03-21 04:00:00,2017-03-25 03:40:00,5745.0
2017-03-30 21:15:00,2017-03-30 22:00:00,50.0
2017-03-30 22:30:00,2017-03-30 23:30:00,65.0
2017-04-05 02:35:00,2017-04-07 00:55:00,2785.0
2017-05-19 01:50:00,2017-05-20 13:20:00,2135.0
2017-05-20 15:35:00,2017-05-30 21:15:00,14745.0
2017-05-31 18:10:00,2017-05-31 18:45:00,40.0
2017-06-08 17:00:00,2017-06-09 02:25:00,570.0
2017-06-14 02:10:00,2017-06-14 05:40:00,215.0
2017-06-23 00:25:00,2017-06-23 09:50:00,570.0
2017-07-20 10:30:00,2017-07-20 13:25:00,180.0
2017-07-31 05:00:00,2017-07-31 15:55:00,660.0
2017-08-11 15:45:00,2017-08-11 16:20:00,40.0
2017-08-13 16:20:00,2017-08-13 17:55:00,100.0
2017-09-07 06:30:00,2017-09-07 07:05:00,40.0
2017-09-07 11:45:00,2017-09-07 12:15:00,35.0
2017-09-09 05:30:00,2017-09-09 13:00:00,455.0
2017-09-12 21:50:00,2017-09-13 23:20:00,1535.0
2017-09-14 01:35:00,2017-09-14 03:00:00,90.0
2017-09-17 18:25:00,2017-09-17 19:10:00,50.0
2017-09-19 02:45:00,2017-09-22 12:15:00,4895.0
2017-09-22 12:40:00,2017-10-03 10:10:00,15695.0
2017-10-05 15:00:00,2017-10-06 04:40:00,825.0
2017-10-06 08:40:00,2017-10-09 16:15:00,4780.0
2017-10-09 17:15:00,2017-10-11 21:40:00,3150.0
2017-10-11 22:10:00,2017-10-11 23:05:00,60.0
2017-10-12 01:25:00,2017-10-13 15:05:00,2265.0
2017-10-13 17:00:00,2017-10-19 07:30:00,8075.0
2017-10-20 03:40:00,2017-10-20 04:35:00,60.0
2017-10-20 12:25:00,2017-10-20 14:05:00,105.0
2017-10-27 10:35:00,2017-10-27 18:15:00,465.0
2017-10-31 22:05:00,2017-10-31 23:35:00,95.0
2017-11-27 21:20:00,2017-12-08 21:15:00,15840.0
2017-12-12 22:40:00,2017-12-12 23:30:00,55.0
